"","id","name_full","name_senator","gender","foto_url","page_url","office_email","party_abbr","id_mandate","state","status","num_legislature_first_term","first_term_start","first_term_end","num_legislature_second_term","second_term_start","second_term_end"
"1","4981","Acir Marcos Gurgacz","Acir Gurgacz","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981","acir@senador.leg.br","PDT","515","RO","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"2","5982","Alessandro Vieira","Alessandro Vieira","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982","sen.alessandrovieira@senado.leg.br","PPS","559","SE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"3","945","Alvaro Fernandes Dias","Alvaro Dias","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/945","alvarodias@senador.leg.br","PODE","514","PR","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"4","5967","Angelo Mario Coronel de Azevedo Martins","Angelo Coronel","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967","sen.angelocoronel@senado.leg.br","PSD","554","BA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"5","5529","Antonio Augusto Junho Anastasia","Antonio Anastasia","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529","antonio.anastasia@senador.leg.br","PSDB","495","MG","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"6","751","Arolde de Oliveira","Arolde de Oliveira","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador751.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/751","sen.aroldedeoliveira@senado.leg.br","PSD","545","RJ","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"7","5990","Carlos Alberto Dias Viana","Carlos Viana","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990","sen.carlosviana@senado.leg.br","PSD","563","MG","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"8","470","Francisco de Assis Rodrigues","Chico Rodrigues","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/470","sen.chicorodrigues@senado.leg.br","DEM","577","RR","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"9","5973","Cid Ferreira Gomes","Cid Gomes","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973","sen.cidgomes@senado.leg.br","PDT","556","CE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"10","739","Ciro Nogueira Lima Filho","Ciro Nogueira","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/739","ciro.nogueira@senador.leg.br","PP","524","PI","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
